text@kgi1984m	@kgi1984m	294.341	299.055	ну вот там / т... п... почему вот такое что-нибудь там  бездарное? / она вот как русские инди музыканты //
text@kgi1984m	@kgi1984m	299.768	305.489	она иногда говорит / слушай ну это я вот щас видела / э у т... э / ну такую бездарность показывают по телевизору / лучше тебя //
text@kgi1984m	@kgi1984m	306.764	310.41	и я говорю / ну ок... окей она говорит // ну / ну я говорю / да / я пошёл //
text@kgi1984m	@kgi1984m	310.41	317.722	или она / иногда / она нч... трог... / иногда выписывает что-то // там на бумажке гьт.../ подожди Кирюш / я тут // там начинает какой-то ворох бумажек / достаёт /
text@kgi1984m	@kgi1984m	317.722	324.329	слушай тут по радио передавали / что / в джазовом клубе // будут собираться разные вокалисты //
text@kgi1984m	@kgi1984m	325.09	330.825	ээ двадцать там // третьего мая / в / семнадцать тридцать // в... вот адрес клуба //
text@kgi1984m	@kgi1984m	330.825	337.49	я говорю н... / супер ну ты тоже может быть придёшь там покажешься / или что-то такое // ну туда //
text@kgi1984m	@kgi1984m	338.366	340.002	эээ / вот //
text@kgi1984m	@kgi1984m	341.968	344.418	 да // свой йодль //
text@kgi1984m	@kgi1984m	345.524	346.91	к... прославленный //
text@kgi1984m	@kgi1984m	347.343	352.143	ну спрашиваешь / к... й... я... я не... не просто й... эээ // йодль умею /
text@kgi1984m	@kgi1984m	352.154	358.154	я не просто йодль / я купчинский йодль / это э / редчайший вообще разновидность наша / лолэйло //
text@kgi1984m	@kgi1984m	358.812	361.477	он такой сдержанный // пацанский //
text@kgi1984m	@kgi1984m	364.449	367.92	эээ // нет! // в Купчино на корточках это //
text@kgi1984m	@kgi1984m	369.412	372.819	да // я давно не был / но // скорее всего нет /
text@kgi1984m	@kgi1984m	372.824	377.488	ээ бабушка да / ну она рада любым / моим // каким-то // успехам //
text@kgi1984m	@kgi1984m	378.032	381.575	ну она д... рада была да / она н... / я даже так скажу /
text@kgi1984m	@kgi1984m	381.632	385.011	она / перепостила это на своей страничке в Фэйсбуке //
text@kgi1984m	@kgi1984m	385.75	392.793	а это / ээ такого мало что / удостаивается да / портреты Алена Делона и / вот это // наши выступления //
text@emb1984f	@emb1984f	5.843	9.837	#смеётся# //
text@emb1984f	@emb1984f	12.325	15.031	#смеётся# / ты в очках шёл? //
text@emb1984f	@emb1984f	15.227	19.177	блин / странно / #смеётся# //
text@emb1984f	@emb1984f	30.652	36.972	ну я бы не... / я не подхожу к тем / кто мне эээ / от кого я фатаею и / и кто мне интересен да /
text@emb1984f	@emb1984f	36.972	38.341	но я не знакома с какими-т... /
text@emb1984f	@emb1984f	38.342	45.349	ну там допустим мне нравится Пали / и мы тусовались у Глушкова на дне рождения но я даже не подошла к тему потому что мне было // некомфортно и стыдно как-то /
text@emb1984f	@emb1984f	45.349	49.749	типа // привет! // ты классный! //
text@emb1984f	@emb1984f	51.318	53.493	ты что подходишь к / людям? / ээ //
text@emb1984f	@emb1984f	54.8	59.943	к кому ты? // к Чайлдиш Гамбино бы / подо... подошёл? #усмехается# // аа ну к Шелягову да //
